name,years,reviews,employee,rating,type,highly_rated_for
Dusters Total Solutions Services,Bangalore/Bengaluru +42 more,315,501-1k Employees,3.9,Facility Management Services,null
Samsung C&T,85 years old,315,501-1k Employees,4.1,Engineering & Construction,"Salary & Benefits, Company Culture, Work Life Balance"
Worldline Global Services,Bezons +22 more,315,1k-5k Employees,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Rusan Pharma,Mumbai +13 more,315,501-1k Employees,3.4,Pharma,null
Nowfloats Technologies,11 years old,315,201-500 Employees,3.5,Software Product,null
DesignTech Systems,Pune +29 more,314,501-1k Employees,3.4,IT Services & Consulting,null
Aquasub Engineering,Bangalore/Bengaluru +10 more,314,5k-10k Employees,3.8,Industrial Machinery,Company Culture
ITI,75 years old,314,501-1k Employees,3.9,Hardware & Networking,"Work Life Balance, Company Culture, Skill Development / Learning"
Lanco Infratech,37 years old,314,5k-10k Employees,4.4,Engineering & Construction,"Work Life Balance, Work Satisfaction, Salary & Benefits"
Hema Engineering Industries,Gurgaon/Gurugram +21 more,314,501-1k Employees,3.6,Auto Components,null
Gainwell Commosales,Kolkata +51 more,314,1k-5k Employees,4.1,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture"
Soma Enterprises,Hyderabad/Secunderabad +46 more,314,1k-5k Employees,4.2,Engineering & Construction,"Company Culture, Work Satisfaction, Work Life Balance"
Khadims,58 years old,314,1k-5k Employees,3.8,Fashion & Textile,Promotions / Appraisal
NU Vista,49 years old,314,1k-5k Employees,4.3,Building Material,"Job Security, Skill Development / Learning, Salary & Benefits"
NCCCL,Mumbai +24 more,313,1k-5k Employees,3.6,Engineering & Construction,"Salary & Benefits, Promotions / Appraisal"
Descon Engineering,Lahore +19 more,313,201-500 Employees,4.1,Engineering & Construction,"Skill Development / Learning, Work Satisfaction, Work Life Balance"
Enco Engineers Combine,Gurgaon/Gurugram +9 more,313,51-200 Employees,3.7,Auto Components,Skill Development / Learning
Markets and Markets,Pune +10 more,313,501-1k Employees,3.6,Analytics & KPO,null
Sanmina Sci,Sanjose +9 more,313,201-500 Employees,4.1,Electronics Manufacturing,"Work Satisfaction, Job Security, Skill Development / Learning"
Royal Migration Solutions,null,313,null,5.0,Dubai +6 more,"Company Culture, Job Security, Promotions / Appraisal"
ITC Limited Foods Division,Kolkata +53 more,313,10k-50k Employees,4.0,Food Processing,"Job Security, Skill Development / Learning"
Miles Education - CPA & CMA Review (Hyderabad),Bengaluru/Bangalore +13 more,313,501-1k Employees,4.2,EdTech,"Skill Development / Learning, Company Culture, Work Satisfaction"
SS Supply Chain Solutions,Gurgaon +33 more,312,201-500 Employees,4.4,IT Services & Consulting,"Skill Development / Learning, Work Life Balance, Work Satisfaction"
Alcon,78 years old,312,1k-5k Employees,3.5,Healthcare,null
STUP Consultants,Mumbai +46 more,312,1k-5k Employees,3.9,Engineering & Construction,null
Zealous Services,Chennai +5 more,312,501-1k Employees,3.4,BPO,Salary & Benefits
Indostar Capital Finance,12 years old,312,1k-5k Employees,4.1,NBFC,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Online Legal India,4 years old,312,501-1k Employees,4.8,Legal,"Company Culture, Work Life Balance, Skill Development / Learning"
Ben Franklin Opticians,Hyderabad/Secunderabad +91 more,312,201-500 Employees,4.3,Medical Equipment,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
Indostar Capital Finance,12 years old,312,1k-5k Employees,4.1,NBFC,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Magic Bus India Foundation,Hyderabad/Secunderabad +45 more,312,1k-5k Employees,3.8,Non-Profit,null
Trianz,Hyderabad/Secunderabad +3 more,311,1k-5k Employees,3.6,IT Services & Consulting,null
Legrand,163 years old,311,1k-5k Employees,3.7,Electrical Equipment,null
Galaxy Surfactants,43 years old,311,1k-5k Employees,3.8,Chemicals,"Job Security, Skill Development / Learning"
WAKEFIT INNOVATIONS,9 years old,311,1k-5k Employees,4.0,Furniture & Furnishing,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
ETA Engineering,Hyderabad/Secunderabad +23 more,311,501-1k Employees,3.5,Engineering & Construction,null
1 India Family Mart,11 years old,311,201-500 Employees,3.9,Retail,"Skill Development / Learning, Work Life Balance"
Teleysia Networks,Hyderabad/Secunderabad +29 more,311,201-500 Employees,3.5,Telecom,null
Ventura Securities,29 years old,311,1k-5k Employees,4.0,Financial Services,"Work Life Balance, Company Culture, Work Satisfaction"
Royal Orchid Hotels,37 years old,310,1k-5k Employees,4.1,Hospitality,"Skill Development / Learning, Company Culture, Work Life Balance"
Competent Software,Hyderabad/Secunderabad +7 more,310,1k-5k Employees (Global),3.8,IT Services & Consulting,Salary & Benefits
Jumio,Jaipur +7 more,310,201-500 Employees,3.8,IT Services & Consulting,Salary & Benefits
Syrma Technology,Chennai +12 more,310,201-500 Employees,4.0,Consumer Electronics & Appliances,"Skill Development / Learning, Work Life Balance, Work Satisfaction"
Sleek International,Hyderabad/Secunderabad +75 more,310,501-1k Employees,3.9,Furniture & Furnishing,Job Security
Reliance Jewels,Hyderabad/Secunderabad +86 more,310,201-500 Employees,4.2,Jewellery,"Job Security, Skill Development / Learning, Company Culture"
Xdbs,Pune +3 more,310,1k-5k Employees,3.2,Marketing & Advertising,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Montecarlo Construction,Ahmedabad +59 more,310,1k-5k Employees,4.1,Engineering & Construction,"Salary & Benefits, Skill Development / Learning, Company Culture"
Texmaco Rail and Engineering,Hyderabad/Secunderabad +38 more,310,1k-5k Employees,3.8,Railways,Job Security
IIC Technologies,29 years old,309,1k-5k Employees,3.8,IT Services & Consulting,Job Security
Alfanar,Riyadh +27 more,309,201-500 Employees,4.2,Electronics Manufacturing,"Work Life Balance, Salary & Benefits, Job Security"
Infiniti Research,London +4 more,309,501-1k Employees,3.9,Analytics & KPO,Job Security
Schwing Stetter,25 years old,309,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture"
Inspira Enterprise India,Mumbai +27 more,309,1k-5k Employees,3.7,IT Services & Consulting,null
Axa XL,Hamilton +5 more,309,1k-5k Employees,3.7,Insurance,Job Security
Uplers,Ahmedabad +10 more,309,501-1k Employees,4.4,Internet,"Company Culture, Work Life Balance, Job Security"
Audi,Ingolstadt +48 more,308,201-500 Employees,3.9,Automobile,"Skill Development / Learning, Job Security, Work Life Balance"
Liberty General Insurance,Mumbai +66 more,308,1k-5k Employees,3.8,Insurance,null
Maxop Engineering Co.,Delhi/NCR +9 more,308,201-500 Employees,4.1,Industrial Machinery,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Electronica Finance,33 years old,308,1k-5k Employees,3.7,NBFC,null
RSB Transmissions,Bhubaneswar +16 more,308,1k-5k Employees,3.8,Industrial Machinery,null
Allcargo Logistics,30 years old,307,501-1k Employees,4.0,Logistics,"Job Security, Work Life Balance, Company Culture"
Sandoz,Bhubaneswar +16 more,307,1k-5k Employees,4.0,Pharma,"Salary & Benefits, Company Culture"
Visaka Industries,42 years old,307,1k-5k Employees,4.1,Building Material,"Work Life Balance, Job Security, Salary & Benefits"
Aramex,Navi Mumbai +48 more,307,1k-5k Employees,3.7,Logistics,null
Consero Global Solutions,Bengaluru/Bangalore +5 more,307,501-1k Employees,3.3,Financial Services,Promotions / Appraisal
Aloha Technology,Pune +11 more,307,501-1k Employees,3.5,IT Services & Consulting,Skill Development / Learning
Scaler Academy,4 years old,307,1k-5k Employees,4.0,EdTech,"Salary & Benefits, Work Life Balance, Company Culture"
Oda Class,6 years old,307,1k-5k Employees,3.7,EdTech,Salary & Benefits
Realty Assistant,Noida +12 more,307,201-500 Employees,4.3,Real Estate,"Skill Development / Learning, Company Culture, Salary & Benefits"
Brembo Brake India,Stezzano +11 more,307,201-500 Employees,4.3,Auto Components,"Salary & Benefits, Work Life Balance, Job Security"
Vedanta Limited,Jharsuguda +36 more,307,5k-10k Employees,4.1,Metals & Mining,"Salary & Benefits, Job Security, Skill Development / Learning"
Morepen Laboratories,39 years old,307,1k-5k Employees,3.9,Pharma,"Work Life Balance, Company Culture, Job Security"
Rashmi Group,Kolkata +17 more,306,10k-50k Employees,3.6,Metals & Mining,null
Tetra Pak,36 years old,306,1k-5k Employees,4.1,Packaging,"Company Culture, Job Security, Salary & Benefits"
Toshiba JSW Power Systems,10 years old,306,501-1k Employees,4.3,Power,"Salary & Benefits, Work Life Balance, Work Satisfaction"
Capital Business Systems,Delhi/NCR +55 more,306,201-500 Employees,3.7,IT Services & Consulting,null
Healthians,10 years old,306,501-1k Employees,3.2,Healthcare,"Job Security, Promotions / Appraisal"
Krsnaa Diagnostics,Pune +49 more,306,51-200 Employees,4.0,Healthcare,"Skill Development / Learning, Company Culture"
Flowserve,Irving +11 more,305,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Company Culture, Work Life Balance"
RedBus,Bangalore +15 more,305,1k-5k Employees,4.4,Internet,"Company Culture, Job Security, Work Life Balance"
Insolutions Global,Mumbai +18 more,305,1k-5k Employees,3.7,FinTech,Job Security
Essar Projects India,54 years old,305,5k-10k Employees,4.0,Engineering & Construction,"Work Life Balance, Company Culture"
Venus Remedies,34 years old,305,501-1k Employees,4.1,Pharma,"Company Culture, Job Security, Skill Development / Learning"
Hettich,Kirchlengern +31 more,305,201-500 Employees,3.8,Furniture & Furnishing,Job Security
National Stock Exchange of India,31 years old,304,1k-5k Employees,3.6,Financial Services,Job Security
The Park Hotels,Kolkata +19 more,304,1k-5k Employees,4.1,Hospitality,"Job Security, Company Culture, Work Life Balance"
CareerNet Consulting,Bangalore +12 more,304,1k-5k Employees,3.7,Recruitment,null
Munjal Showa,38 years old,304,1k-5k Employees,3.5,Auto Components,"Promotions / Appraisal, Salary & Benefits"
ERA Group,33 years old,304,1k-5k Employees,3.7,Power,Skill Development / Learning
Securitas,89 years old,304,10k-50k Employees,3.7,Law Enforcement & Security,null
Consolidated Construction Consortium,26 years old,304,501-1k Employees,4.2,Engineering & Construction,"Skill Development / Learning, Work Satisfaction, Company Culture"
Grass Roots Research & Creation,null,304,201-500 Employees,4.9,Analytics & KPO,"Company Culture, Work Life Balance, Skill Development / Learning"
Siemens Healthineers,Erlangen +13 more,303,1k-5k Employees,3.9,Healthcare,"Job Security, Work Life Balance, Company Culture"
Applied Materials,21 years old,303,5k-10k Employees,4.1,Semiconductors,"Job Security, Company Culture, Skill Development / Learning"
EID Parry (India),235 years old,303,1k-5k Employees,4.2,FMCG,"Job Security, Company Culture, Skill Development / Learning"
Kiya.ai,Mumbai +8 more,303,501-1k Employees,3.3,IT Services & Consulting,Promotions / Appraisal
Mrs Bector's Food Specialities,45 years old,303,1k-5k Employees,4.0,FMCG,Skill Development / Learning
Ralson India,49 years old,303,501-1k Employees,3.8,Auto Components,Job Security
Majesco,41 years old,302,1k-5k Employees,3.9,IT Services & Consulting,"Work Life Balance, Company Culture"
Indraprastha Gas,25 years old,302,501-1k Employees,4.0,Oil & Gas,Work Life Balance
TotalEnergies,99 years old,302,1k-5k Employees,3.9,Oil & Gas,Job Security
Alankit,32 years old,302,1k-5k Employees,3.0,Financial Services,"Promotions / Appraisal, Salary & Benefits, Job Security"
APL Apollo Tubes,37 years old,302,1k-5k Employees,3.8,Building Material,null
Netmeds.com,8 years old,302,501-1k Employees,3.5,Internet,Promotions / Appraisal
Havmor Ice Cream,Ahmedabad +49 more,302,501-1k Employees,4.0,Food Processing,"Work Life Balance, Company Culture"
Eurokids,Mumbai +54 more,301,501-1k Employees,4.0,Education & Training,"Skill Development / Learning, Company Culture, Work Life Balance"
NR Switch N Radio Services,Kota +55 more,301,501-1k Employees,3.8,Telecom,null
Kirloskar Toyota Textile Machinery,Bangalore/Bengaluru +7 more,301,201-500 Employees,4.5,Industrial Machinery,"Company Culture, Job Security, Work Life Balance"
Kirloskar Toyota Textile Machinery,Bangalore/Bengaluru +7 more,301,201-500 Employees,4.5,Industrial Machinery,"Company Culture, Job Security, Work Life Balance"
SunTec Web Services,New Delhi +4 more,301,1k-5k Employees,3.4,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Aurionpro Solutions,26 years old,300,1k-5k Employees,3.8,Software Product,null
Infrastructure Leasing & Financial Services,Mumbai +66 more,300,501-1k Employees,4.0,Engineering & Construction,Skill Development / Learning
Kuwait National Petroleum Company,63 years old,300,51-200 Employees,4.5,Oil & Gas,"Work Life Balance, Work Satisfaction, Company Culture"
Orcapod Consulting Services,Mumbai +13 more,300,501-1k Employees,3.3,IT Services & Consulting,"Job Security, Promotions / Appraisal, Salary & Benefits"
Sheela Foam,52 years old,300,1k-5k Employees,4.2,Furniture & Furnishing,"Company Culture, Work Life Balance, Job Security"
Kolte Patil Developers,32 years old,300,1k-5k Employees,4.1,Real Estate,"Work Life Balance, Company Culture, Salary & Benefits"
Great Learning,10 years old,300,1k-5k Employees,3.8,EdTech,null
ARMSOFTECH.AIR,Chennai +11 more,300,201-500 Employees,3.7,IT Services & Consulting,null
Seoyon E-hwa Automotive,Seoul +14 more,300,51-200 Employees,3.8,Auto Components,null
Danske IT,Bangalore/Bengaluru +1 more,300,1k-5k Employees,3.5,IT Services & Consulting,Work Life Balance
Par Pharmaceutical Companies,Chestnut Ridge +7 more,300,201-500 Employees,4.2,Pharma,"Salary & Benefits, Work Life Balance, Company Culture"
Rieter,Khandala +18 more,300,501-1k Employees,4.0,Industrial Machinery,"Work Life Balance, Company Culture, Job Security"
Innominds Software,Hyderabad/Secunderabad +6 more,300,1k-5k Employees,3.1,IT Services & Consulting,"Promotions / Appraisal, Job Security, Salary & Benefits"
Teradata,San Diego +8 more,299,1k-5k Employees,4.1,Software Product,"Work Life Balance, Company Culture, Salary & Benefits"
Sany Heavy Industry,34 years old,299,501-1k Employees,3.8,Industrial Machinery,Salary & Benefits
Agro Tech Foods,37 years old,299,501-1k Employees,4.2,FMCG,"Company Culture, Job Security, Skill Development / Learning"
Caparo Maruti,Gurgaon/Gurugram +15 more,299,501-1k Employees,3.9,Auto Components,null
Ergode IT Services,Houston +5 more,299,501-1k Employees,3.6,IT Services & Consulting,null
Greet Technologies,Bangalore/Bengaluru +5 more,298,51-200 Employees,3.3,Recruitment,"Salary & Benefits, Promotions / Appraisal"
GAVS Technologies,Princeton +11 more,298,1k-5k Employees,4.0,IT Services & Consulting,"Salary & Benefits, Work Life Balance, Company Culture"
Diffusion Engineers,Nagpur +31 more,298,201-500 Employees,4.3,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture"
Eversendai,Selangor Darul Ehsan +16 more,298,201-500 Employees,3.8,Engineering & Construction,null
Writer Safe Guard,Mumbai +71 more,298,5k-10k Employees,3.6,Law Enforcement & Security,null
Kalyani Technoforge,null,298,44 years old,4.0,1k-5k Employees,Skill Development / Learning
Meyer Organics,Thane +47 more,297,1k-5k Employees,3.5,Pharma,null
Hyundai Engineering and Construction,null,297,501-1k Employees,4.4,Engineering & Construction,"Salary & Benefits, Work Satisfaction, Skill Development / Learning"
Diya Systems,Mangaluru/Mangalore +7 more,297,1k-5k Employees,3.5,BPO,Job Security
ADFC,Mumbai +38 more,297,51-200 Employees,3.6,Banking,Job Security
Indian Bank,116 years old,297,10k-50k Employees,3.5,Banking,Job Security
Prism Cement,Mumbai +47 more,297,201-500 Employees,3.8,Building Material,null
Nspira Management Services,Hyderabad/Secunderabad +33 more,297,1k-5k Employees,3.8,BPO,null
Tanishq Jewellery,Bengaluru +96 more,297,501-1k Employees,4.5,Jewellery,"Skill Development / Learning, Company Culture, Work Life Balance"
Novac Technology Solutions,Chennai +17 more,297,1k-5k Employees,3.9,Software Product,"Job Security, Work Life Balance, Company Culture"
Commonwealth Bank of Australia,112 years old,297,1k-5k Employees,3.7,Banking,"Salary & Benefits, Work Life Balance, Job Security"
AccorHotels,56 years old,296,5k-10k Employees,4.5,Hospitality,"Company Culture, Work Life Balance, Skill Development / Learning"
Aimil Pharmaceuticals,Delhi/NCR +41 more,296,501-1k Employees,3.7,Pharma,null
SRM University,Chennai +22 more,296,1k-5k Employees,3.8,Healthcare,null
Groupon,Chicago +9 more,296,1k-5k Employees,3.4,Internet,"Job Security, Promotions / Appraisal"
Zoomcar,11 years old,296,1k-5k Employees,3.8,Internet,Work Life Balance
Minda Furukawa Electric,Bawal +13 more,296,201-500 Employees,3.9,Auto Components,"Skill Development / Learning, Company Culture"
India Nippon Electricals,39 years old,296,501-1k Employees,3.9,Auto Components,"Job Security, Skill Development / Learning, Work Satisfaction"
Gtpl Broadband,Ahmedabad +39 more,296,1k-5k Employees (Global),3.8,Telecom,null
S.K. Finance,null,296,5k-10k Employees,4.0,NBFC,"Skill Development / Learning, Company Culture, Work Life Balance"
Silverlink Technologies,Mumbai +14 more,295,501-1k Employees,4.4,IT Services & Consulting,"Work Satisfaction, Skill Development / Learning, Work Life Balance"
Dharampal Premchand,Noida +47 more,295,201-500 Employees,4.1,FMCG,"Job Security, Work Life Balance, Company Culture"
Ramco Industries,31 years old,295,1k-5k Employees,4.2,Building Material,"Job Security, Work Life Balance, Company Culture"
Telecom Network Solutions,Noida +39 more,295,501-1k Employees,4.3,Telecom,"Company Culture, Work Life Balance, Skill Development / Learning"
Tsys Card Tech Services,Noida +5 more,295,1k-5k Employees,4.3,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Balmer Lawrie,156 years old,295,1k-5k Employees,3.8,Power,Job Security
L. N. Malviya Infra Projects Group,Bhopal +83 more,295,1k-5k Employees,3.4,Engineering & Construction,"Salary & Benefits, Promotions / Appraisal"
QX Global Group,20 years old,295,1k-5k Employees,3.6,IT Services & Consulting,null
National Collateral Management Services,Gurgaon/Gurugram +69 more,295,501-1k Employees,3.9,Government,Company Culture
Mahindra Integrated Business Solutions,Mumbai +39 more,295,1k-5k Employees,3.6,BPO,Promotions / Appraisal
Kyungshin Industrial Motherson,Chennai +11 more,294,201-500 Employees,3.2,Electrical Equipment,"Salary & Benefits, Promotions / Appraisal, Company Culture"
FabHotels,9 years old,294,501-1k Employees,3.2,Hospitality,"Job Security, Company Culture, Work Satisfaction"
Transasia Bio-Medicals,Madurai +44 more,294,1k-5k Employees,3.2,Biotechnology,Company Culture
Novartis Healthcare,27 years old,294,51-200 Employees,4.1,Pharma,"Work Life Balance, Company Culture, Skill Development / Learning"
INDIABULLS PHARMACEUTICALS,Mumbai +54 more,294,1k-5k Employees,2.7,Pharma,"Job Security, Work Satisfaction, Promotions / Appraisal"
Accion Labs,Bridgeville +13 more,294,1k-5k Employees,3.7,IT Services & Consulting,Work Life Balance
Cera Sanitaryware,43 years old,293,1k-5k Employees,4.2,Building Material,"Work Life Balance, Job Security, Company Culture"
Teva API,Tel Aviv +16 more,293,1k-5k Employees,4.0,Pharma,"Salary & Benefits, Skill Development / Learning, Work Life Balance"
Medall Healthcare,Chennai +42 more,293,1k-5k Employees,3.5,Healthcare,Promotions / Appraisal
Juniper Networks,Sunnyvale +5 more,293,1k-5k Employees,4.3,Hardware & Networking,"Company Culture, Work Life Balance, Job Security"
Hilex,Gurgaon/Gurugram +12 more,293,201-500 Employees,3.8,Automobile,null
GoMechanic,7 years old,293,501-1k Employees,3.7,Internet,Salary & Benefits
Aptiv,29 years old,293,1k-5k Employees,3.9,Auto Components,"Job Security, Skill Development / Learning"
Ceinsys Tech,25 years old,293,501-1k Employees,4.0,IT Services & Consulting,"Work Life Balance, Company Culture"
Home First Finance Company India,Mumbai +59 more,293,501-1k Employees,4.0,Financial Services,"Company Culture, Salary & Benefits, Job Security"
360 Realtors,Gurgaon/Gurugram +24 more,293,501-1k Employees,3.6,Real Estate,null
RSWM,62 years old,292,10k-50k Employees,4.0,Fashion & Textile,"Company Culture, Skill Development / Learning, Job Security"
Anthem Biosciences,Bangalore/Bengaluru +9 more,292,1k-5k Employees,4.0,Pharma,"Job Security, Skill Development / Learning"
Bombardier Transportation,Montreal +13 more,292,201-500 Employees,4.1,Urban Transport,"Work Life Balance, Company Culture, Work Satisfaction"
Christian Medical College,Vellore +22 more,292,5k-10k Employees,4.3,Education & Training,"Skill Development / Learning, Job Security, Work Satisfaction"
PureSoftware,Singapore +8 more,292,1k-5k Employees,3.3,IT Services & Consulting,Job Security
Citrix,34 years old,292,1k-5k Employees,3.8,Software Product,"Salary & Benefits, Company Culture, Work Life Balance"
C-Edge Technologies,Thane +17 more,292,501-1k Employees,3.9,IT Services & Consulting,"Job Security, Work Life Balance"
Wintax Solution,Surat +72 more,292,11-50 Employees,4.8,Recruitment,"Company Culture, Skill Development / Learning, Work Life Balance"
Wipro Infotech Limited,null,292,null,4.2,Gurgaon/Gurugram +37 more,"Work Life Balance, Work Satisfaction, Job Security"
Kirloskar Ferrous Industries,32 years old,292,1k-5k Employees,4.1,Iron & Steel,"Job Security, Skill Development / Learning, Company Culture"
Thought Focus,Milwaukee +6 more,292,1k-5k Employees,3.8,IT Services & Consulting,null
Groupm Media,20 years old,292,1k-5k Employees,3.9,Marketing & Advertising,"Job Security, Company Culture, Work Life Balance"
Yardi Systems,Santa Barbara +2 more,291,1k-5k Employees,4.0,Software Product,"Job Security, Company Culture, Work Life Balance"
Sapiens,41 years old,291,1k-5k Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance"
IOCL Refinery,64 years old,291,1k-5k Employees,4.4,Oil & Gas,"Job Security, Company Culture, Work Life Balance"
Shivalik Small Finance Bank,Noida +17 more,291,501-1k Employees,3.9,Banking,"Work Life Balance, Job Security, Work Satisfaction"
Aditya Anagha Multi State Credit Co-Operative Society,Nagpur +37 more,291,501-1k Employees,4.8,Banking,"Company Culture, Skill Development / Learning, Work Life Balance"
Writer Information Management Services,Mumbai +32 more,291,5k-10k Employees (Global),3.3,Facility Management Services,Promotions / Appraisal
Aurangabad Electricals,Aurangabad +8 more,290,501-1k Employees,3.9,Auto Components,Skill Development / Learning
Ciena,Hanover +10 more,290,1k-5k Employees,4.2,Telecom,"Work Life Balance, Company Culture, Salary & Benefits"
Fenesta Building Systems,Gurgaon/Gurugram +48 more,290,501-1k Employees,4.2,Furniture & Furnishing,"Job Security, Company Culture, Skill Development / Learning"
Sona Koyo Steering Systems,Gurgaon/Gurugram +14 more,290,1k-5k Employees,4.1,Auto Components,"Company Culture, Skill Development / Learning, Job Security"
Ryan International School,31 years old,290,10k-50k Employees,3.8,Education & Training,null
Hamdard,Delhi/NCR +51 more,290,501-1k Employees,4.0,Food Processing,Work Life Balance
People Tech Group,Redmond +9 more,290,1k-5k Employees,3.1,IT Services & Consulting,"Job Security, Promotions / Appraisal, Work Satisfaction"
Nissan,90 years old,289,10k-50k Employees,3.9,Automobile,Work Life Balance
Ascent Consulting Services,Bengaluru +19 more,289,501-1k Employees,3.7,Management Consulting,null
Jamna Auto Industries,69 years old,289,1k-5k Employees,3.5,Auto Components,null
Mas Callnet,Noida +11 more,289,51-200 Employees,4.0,BPO,"Company Culture, Skill Development / Learning, Work Life Balance"
Jamna Auto Industries,69 years old,289,1k-5k Employees,3.5,Auto Components,null
Suzuki,9 years old,289,10k-50k Employees,4.1,Automobile,"Job Security, Company Culture, Skill Development / Learning"
Grand Hyatt,Chicago +20 more,289,501-1k Employees,4.3,Hospitality,"Job Security, Company Culture, Skill Development / Learning"
Jawahar Navodaya Vidyalaya,38 years old,289,10k-50k Employees,4.4,Education & Training,"Salary & Benefits, Skill Development / Learning, Company Culture"
"Varroc Engineering Limited, VEL-PN",Aurangabad +14 more,289,1k-5k Employees,3.8,Auto Components,null
convergys india services,null,289,null,3.5,Gurgaon/Gurugram +9 more,Job Security
JNS Instruments,22 years old,289,501-1k Employees,3.9,Industrial Machinery,"Job Security, Skill Development / Learning"
Self Practice,null,289,New Delhi +89 more,4.3,Analytics & KPO,"Skill Development / Learning, Work Satisfaction, Work Life Balance"
ASM Technologies,31 years old,289,1k-5k Employees,3.5,Engineering & Construction,null
Ofbusiness,8 years old,289,1k-5k Employees,3.0,Internet,"Job Security, Work Satisfaction, Work Life Balance"
Akamai Technologies,25 years old,288,1k-5k Employees,4.4,IT Services & Consulting,"Work Life Balance, Company Culture, Salary & Benefits"
Rakuten,26 years old,288,1k-5k Employees,3.8,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance"
Meghmani Organics,37 years old,288,501-1k Employees,3.8,Chemicals,Job Security
ELGI Equipments,63 years old,288,1k-5k Employees,3.8,Industrial Machinery,Job Security
V-Xpress,Chembur +55 more,288,501-1k Employees,4.2,Logistics,"Job Security, Work Life Balance, Company Culture"
Tata Power Solar,34 years old,288,1k-5k Employees,4.2,Power,"Job Security, Skill Development / Learning, Company Culture"
You Broadband,22 years old,288,1k-5k Employees,3.8,Telecom,null
Bhagwati Products,21 years old,287,11-50 Employees,3.8,Consumer Electronics & Appliances,Skill Development / Learning
Shriram Value Services,Chennai +27 more,287,1k-5k Employees,4.3,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Myk Laticrete,Hyderabad/Secunderabad +45 more,287,1k-5k Employees,4.2,Building Material,"Work Life Balance, Job Security, Skill Development / Learning"
Aarti Drugs,39 years old,287,201-500 Employees,3.9,Pharma,"Skill Development / Learning, Job Security, Work Satisfaction"
ABP Group,Kolkata +19 more,287,1k-5k Employees,3.4,Printing & Publishing,"Promotions / Appraisal, Job Security"
Dana India,Maumee +14 more,287,1k-5k Employees,4.1,Automobile,"Company Culture, Skill Development / Learning, Work Life Balance"
Tata Steel Utilities and Infrastructure Services,null,287,Jamshedpur +11 more,3.7,Engineering & Construction,"Job Security, Work Life Balance"
Wirpo Technologies,null,287,1 Lakh+ Employees (Global),3.7,IT Services & Consulting,"Job Security, Skill Development / Learning"
Harman Finochem,Mumbai +9 more,287,501-1k Employees,3.4,Pharma,null
PULSUS HealthTech Group,39 years old,287,501-1k Employees,3.7,Printing & Publishing,null
Magma HDI General Insurance,Mumbai +71 more,287,1k-5k Employees,4.0,Insurance,Work Life Balance
Ingersoll Rand,51 years old,286,501-1k Employees,4.0,Industrial Machinery,"Work Life Balance, Job Security, Company Culture"
IFFCO Kisan Sanchar,Delhi/NCR +60 more,286,501-1k Employees,3.4,Agro Chemicals,null
Exicom,29 years old,286,501-1k Employees,4.1,Semiconductors,"Work Life Balance, Job Security, Company Culture"
Grey Orange,Gurgaon +10 more,286,501-1k Employees,3.2,Software Product,Job Security
Uniparts Group,Noida +16 more,286,501-1k Employees,4.2,Industrial Machinery,"Work Life Balance, Skill Development / Learning, Job Security"
Infosys Consulting,Zurich +25 more,286,1k-5k Employees,3.7,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
PC Solutions,New Delhi +15 more,285,201-500 Employees,3.9,IT Services & Consulting,"Skill Development / Learning, Work Life Balance"
Publicis,97 years old,285,10k-50k Employees,3.7,Marketing & Advertising,null
Cosmo Films,42 years old,285,1k-5k Employees,3.9,Packaging,"Job Security, Company Culture"
Ujjivan Financial Services,null,285,null,4.4,Bengaluru/Bangalore +104 more,"Job Security, Company Culture, Skill Development / Learning"
"Ministry Of Health, New Delhi",47 years old,285,10k-50k Employees,4.4,Healthcare,"Work Life Balance, Skill Development / Learning, Company Culture"
Elecon Engineering,72 years old,285,501-1k Employees,4.2,Electrical Equipment,"Work Life Balance, Skill Development / Learning, Company Culture"
Methodex,Delhi/NCR +44 more,285,1k-5k Employees,3.9,Law Enforcement & Security,null
Jyoti CNC Automation,34 years old,285,501-1k Employees,3.9,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture"
Harjai Computers,Mumbai +11 more,285,201-500 Employees,4.1,Recruitment,"Work Life Balance, Work Satisfaction, Job Security"
Vatika Group,Gurgaon +12 more,284,1k-5k Employees (Global),4.0,Hospitality,"Work Life Balance, Job Security, Company Culture"
