name,years,reviews,employee,rating,type,highly_rated_for
Hindustan Unilever,151 years old,4.6k,10k-50k Employees,4.2,FMCG,"Skill Development / Learning, Job Security, Company Culture"
Amazon Development Centre India,null,4.5k,10k-50k Employees,4.2,Internet,"Company Culture, Salary & Benefits, Work Life Balance"
IIFL Finance,28 years old,4.5k,10k-50k Employees,3.9,NBFC,null
Quess,16 years old,4.5k,1 Lakh+ Employees,4.0,Recruitment,Work Life Balance
TATA Steel,116 years old,4.4k,1 Lakh+ Employees,4.2,Iron & Steel,"Job Security, Skill Development / Learning, Work Life Balance"
Hexaware Technologies,33 years old,4.3k,10k-50k Employees,3.7,IT Services & Consulting,null
KPMG India,Bengaluru/Bangalore +73 more,4.3k,10k-50k Employees,3.6,Management Consulting,Job Security
Sun Pharmaceutical Industries,40 years old,4.3k,10k-50k Employees,4.1,Pharma,"Job Security, Skill Development / Learning, Salary & Benefits"
Home Credit Finance,Gurugram +109 more,4.2k,10k-50k Employees,4.1,Financial Services,"Skill Development / Learning, Company Culture, Work Life Balance"
JSW Steel,41 years old,4.2k,10k-50k Employees,3.9,Iron & Steel,"Job Security, Skill Development / Learning"
Ujjivan Small Finance Bank,6 years old,4.1k,10k-50k Employees,4.1,Banking,"Company Culture, Job Security, Skill Development / Learning"
Shapoorji Pallonji Group,158 years old,4.1k,5k-10k Employees,4.2,Engineering & Construction,"Job Security, Skill Development / Learning, Company Culture"
Oracle,46 years old,4.1k,50k-1 Lakh Employees,3.9,Software Product,"Work Life Balance, Job Security, Company Culture"
OPPO,19 years old,4.1k,10k-50k Employees,3.9,Consumer Electronics & Appliances,Skill Development / Learning
Max Life Insurance,Gurgaon/Gurugram +362 more,4.1k,10k-50k Employees,4.1,Insurance,"Company Culture, Skill Development / Learning, Job Security"
Aurobindo Pharma,37 years old,4k,10k-50k Employees,4.0,Pharma,"Job Security, Work Life Balance, Salary & Benefits"
Muthoot Finance,84 years old,4k,10k-50k Employees,3.5,NBFC,null
eClerx,23 years old,4k,10k-50k Employees,3.5,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Ashok Leyland,75 years old,4k,10k-50k Employees,4.1,Automobile,"Skill Development / Learning, Work Satisfaction, Company Culture"
Capgemini Technology Services India Limited,null,4k,1 Lakh+ Employees,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Shriram Transport Finance,44 years old,4k,10k-50k Employees,4.1,NBFC,"Job Security, Skill Development / Learning, Work Life Balance"
Tata Projects,44 years old,4k,5k-10k Employees,4.2,Engineering & Construction,"Job Security, Company Culture, Skill Development / Learning"
Siemens,176 years old,3.9k,5k-10k Employees,4.2,Power,"Job Security, Work Life Balance, Company Culture"
Apollo Hospitals,40 years old,3.9k,10k-50k Employees,4.1,Healthcare,"Job Security, Skill Development / Learning, Company Culture"
Vivo,14 years old,3.9k,5k-10k Employees,4.0,Consumer Electronics & Appliances,"Skill Development / Learning, Company Culture"
JLL,26 years old,3.9k,10k-50k Employees,4.2,Real Estate,"Skill Development / Learning, Job Security, Company Culture"
First Source,22 years old,3.8k,10k-50k Employees,3.8,BPO,null
L&T Construction,79 years old,3.8k,10k-50k Employees,4.0,Engineering & Construction,"Job Security, Skill Development / Learning, Salary & Benefits"
JustDial,27 years old,3.8k,10k-50k Employees,3.5,Internet,null
Hero MotoCorp,39 years old,3.7k,5k-10k Employees,4.1,Automobile,"Work Life Balance, Job Security, Company Culture"
Omega Healthcare,Florida +34 more,3.7k,10k-50k Employees,3.7,Healthcare,null
Hewlett-Packard Enterprise,8 years old,3.7k,10k-50k Employees,4.3,Emerging Technologies,"Company Culture, Work Life Balance, Job Security"
Megha Engineering & Infrastructures,34 years old,3.6k,5k-10k Employees,4.0,Engineering & Construction,"Job Security, Skill Development / Learning, Work Life Balance"
Mahindra & Mahindra Financial Services,32 years old,3.6k,10k-50k Employees,4.3,NBFC,"Job Security, Company Culture, Work Life Balance"
Cyient,32 years old,3.6k,10k-50k Employees,3.7,IT Services & Consulting,Job Security
Bajaj Allianz Life Insurance,Pune +471 more,3.6k,10k-50k Employees,4.1,Insurance,"Salary & Benefits, Work Life Balance, Job Security"
D Mart,23 years old,3.5k,10k-50k Employees,3.9,Retail,"Job Security, Company Culture"
Hyundai Motor,56 years old,3.5k,10k-50k Employees,4.3,Automobile,"Job Security, Salary & Benefits, Skill Development / Learning"
Indiamart Intermesh,Noida +129 more,3.4k,1k-5k Employees,3.6,Internet,null
BigBasket,12 years old,3.4k,10k-50k Employees,4.0,Internet,"Job Security, Skill Development / Learning, Company Culture"
TVS Motor,44 years old,3.4k,5k-10k Employees,4.0,Automobile,"Skill Development / Learning, Salary & Benefits, Company Culture"
Reliance Communications,21 years old,3.4k,201-500 Employees,3.9,Telecom,Skill Development / Learning
Atos Syntel,Troy +18 more,3.3k,5k-10k Employees,3.6,IT Services & Consulting,Promotions / Appraisal
Bosch,137 years old,3.3k,10k-50k Employees,4.3,Auto Components,"Company Culture, Work Life Balance, Skill Development / Learning"
Standard Chartered Bank,54 years old,3.3k,10k-50k Employees,3.9,Banking,"Job Security, Company Culture"
Manappuram Finance,74 years old,3.3k,10k-50k Employees,3.9,NBFC,"Skill Development / Learning, Promotions / Appraisal"
UST,Aliso Viejo +34 more,3.3k,10k-50k Employees,3.9,IT Services & Consulting,"Work Life Balance, Company Culture"
Bosch Global Software Technologies,Gerlingen +26 more,3.3k,10k-50k Employees,4.2,Software Product,"Job Security, Work Life Balance, Company Culture"
Oyo Rooms,10 years old,3.3k,1k-5k Employees,3.4,Hospitality,Job Security
SBI Cards & Payment Services,null,3.3k,25 years old,3.7,1k-5k Employees,null
Coforge,19 years old,3.3k,10k-50k Employees,3.6,IT Services & Consulting,Promotions / Appraisal
